experiment,bin,Uncalibrated,HB,BBQ,VS,TS,PTS,CTS,ETS,GC,ProCal_DR,SMART
cifar100_resnet50,5,76.690000,76.629996,76.690000,76.739997,76.690000,76.690000,76.379997,76.690000,76.690000,75.970000,76.690000
cifar100_wide_resnet,5,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,78.319997,79.289997
cifar10_resnet50,5,95.049995,95.039999,95.049995,94.989997,95.049995,95.049995,94.879997,95.049995,95.049995,94.509995,95.049995
cifar10_wide_resnet,5,96.129996,96.129996,96.129996,96.059996,96.129996,96.129996,96.089995,96.129996,96.129996,96.069998,96.129996
imagenet_resnet50,5,76.104999,76.104999,76.104999,76.109999,76.104999,75.234997,75.314999,76.104999,76.104999,76.017499,76.104999
imagenet_vit_b_16,5,80.965000,80.965000,80.965000,80.829996,80.965000,80.965000,80.549997,80.965000,80.965000,80.954999,80.965000
cifar100_resnet50,10,76.690000,76.629996,76.690000,76.739997,76.690000,76.690000,76.379997,76.690000,76.690000,75.970000,76.690000
cifar100_wide_resnet,10,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,78.319997,79.289997
cifar10_resnet50,10,95.049995,95.039999,95.049995,94.989997,95.049995,95.049995,94.879997,95.049995,95.049995,94.509995,95.049995
cifar10_wide_resnet,10,96.129996,96.129996,96.129996,96.059996,96.129996,96.129996,96.089995,96.129996,96.129996,96.069998,96.129996
imagenet_resnet50,10,76.104999,76.104999,76.104999,76.109999,76.104999,75.234997,75.314999,76.104999,76.104999,76.017499,76.104999
imagenet_vit_b_16,10,80.965000,80.965000,80.965000,80.829996,80.965000,80.965000,80.549997,80.965000,80.965000,80.954999,80.965000
cifar100_resnet50,15,76.690000,76.629996,76.690000,76.739997,76.690000,76.690000,76.379997,76.690000,76.690000,75.970000,76.690000
cifar100_wide_resnet,15,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,78.319997,79.289997
cifar10_resnet50,15,95.049995,95.039999,95.049995,94.989997,95.049995,95.049995,94.879997,95.049995,95.049995,94.509995,95.049995
cifar10_wide_resnet,15,96.129996,96.129996,96.129996,96.059996,96.129996,96.129996,96.089995,96.129996,96.129996,96.069998,96.129996
imagenet_resnet50,15,76.104999,76.104999,76.104999,76.109999,76.104999,75.234997,75.314999,76.104999,76.104999,76.017499,76.104999
imagenet_vit_b_16,15,80.965000,80.965000,80.965000,80.829996,80.965000,80.965000,80.549997,80.965000,80.965000,80.954999,80.965000
cifar100_resnet50,20,76.690000,76.629996,76.690000,76.739997,76.690000,76.690000,76.379997,76.690000,76.690000,75.970000,76.690000
cifar100_wide_resnet,20,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,78.319997,79.289997
cifar10_resnet50,20,95.049995,95.039999,95.049995,94.989997,95.049995,95.049995,94.879997,95.049995,95.049995,94.509995,95.049995
cifar10_wide_resnet,20,96.129996,96.129996,96.129996,96.059996,96.129996,96.129996,96.089995,96.129996,96.129996,96.069998,96.129996
imagenet_resnet50,20,76.104999,76.104999,76.104999,76.109999,76.104999,75.234997,75.314999,76.104999,76.104999,76.017499,76.104999
imagenet_vit_b_16,20,80.965000,80.965000,80.965000,80.829996,80.965000,80.965000,80.549997,80.965000,80.965000,80.954999,80.965000
cifar100_resnet50,25,76.690000,76.629996,76.690000,76.739997,76.690000,76.690000,76.379997,76.690000,76.690000,75.970000,76.690000
cifar100_wide_resnet,25,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,78.319997,79.289997
cifar10_resnet50,25,95.049995,95.039999,95.049995,94.989997,95.049995,95.049995,94.879997,95.049995,95.049995,94.509995,95.049995
cifar10_wide_resnet,25,96.129996,96.129996,96.129996,96.059996,96.129996,96.129996,96.089995,96.129996,96.129996,96.069998,96.129996
imagenet_resnet50,25,76.104999,76.104999,76.104999,76.109999,76.104999,75.234997,75.314999,76.104999,76.104999,76.017499,76.104999
imagenet_vit_b_16,25,80.965000,80.965000,80.965000,80.829996,80.965000,80.965000,80.549997,80.965000,80.965000,80.954999,80.965000
cifar100_resnet50,30,76.690000,76.629996,76.690000,76.739997,76.690000,76.690000,76.379997,76.690000,76.690000,75.970000,76.690000
cifar100_wide_resnet,30,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,79.289997,78.319997,79.289997
cifar10_resnet50,30,95.049995,95.039999,95.049995,94.989997,95.049995,95.049995,94.879997,95.049995,95.049995,94.509995,95.049995
cifar10_wide_resnet,30,96.129996,96.129996,96.129996,96.059996,96.129996,96.129996,96.089995,96.129996,96.129996,96.069998,96.129996
imagenet_resnet50,30,76.104999,76.104999,76.104999,76.109999,76.104999,75.234997,75.314999,76.104999,76.104999,76.017499,76.104999
imagenet_vit_b_16,30,80.965000,80.965000,80.965000,80.829996,80.965000,80.965000,80.549997,80.965000,80.965000,80.954999,80.965000
