experiment,Uncalibrated,TS,PTS,CTS,ETS,HB,BBQ,VS,GC,ProCal_DR,FC,LC,SMART
cifar10_resnet50,95.0499951839447,,,,,,,,95.0499951839447,94.5099949836731,94.91999745368958,,95.050
cifar10_wide_resnet,96.12999558448792,,,,,,,,96.12999558448792,96.069997549057,96.12999558448792,,96.130
cifar100_resnet50,76.69000029563904,,,,,,,,76.69000029563904,75.97000002861023,76.73999667167664,,76.690
cifar100_wide_resnet,79.28999662399292,,,,,,,,79.28999662399292,78.31999659538269,79.30999994277954,,79.290
imagenet_resnet50,76.173±0.069,,,,,,,,76.179±0.073,76.013±0.064,76.010±0.081,,76.285
imagenet_densenet121,74.432±0.078,,,,,,,,74.101±0.081,73.927±0.089,73.258±0.119,,74.170
imagenet_wide_resnet,78.461±0.041,,,,,,,,78.461±0.041,78.351±0.083,78.061±0.018,,78.517
imagenet_vit_b_16,81.090±0.082,,,,,,,,81.090±0.082,81.060±0.080,81.092±0.082,,81.195
imagenet_vit_b_32,75.936±0.039,,,,,,,,75.933±0.041,75.928±0.041,75.933±0.041,,75.967
imagenet_swin_b,83.171±0.019,,,,,,,,83.171±0.019,83.125±0.039,83.185±0.021,,83.200
imagenet_lt_resnet50,76.035±0.032,,,,,,,,76.066±0.112,76.009±0.091,75.997±0.094,,76.232
imagenet_lt_densenet121,74.397±0.133,,,,,,,,74.047±0.071,73.727±0.088,73.271±0.186,,74.112
imagenet_lt_wide_resnet,78.403±0.077,,,,,,,,78.533±0.083,78.378±0.060,78.145±0.048,,78.615
imagenet_lt_vit_b_16,81.000±0.082,,,,,,,,81.080±0.051,81.065±0.048,81.083±0.050,,81.135
imagenet_lt_vit_b_32,75.924±0.088,,,,,,,,75.892±0.059,75.886±0.065,75.892±0.059,,75.962
imagenet_lt_swin_b,82.939±0.065,,,,,,,,83.060±0.046,83.028±0.065,83.059±0.044,,83.092
imagenet_sketch_resnet50,24.088±0.059,,,,,,,,24.019±0.112,21.978±0.171,23.948±0.196,,24.216
imagenet_sketch_densenet121,24.328±0.118,,,,,,,,24.916±0.075,22.069±0.117,24.593±0.091,,24.990
imagenet_sketch_vit_b_16,29.389±0.051,,,,,,,,29.371±0.129,28.159±0.115,29.340±0.124,,29.507
imagenet_sketch_vit_b_32,27.753±0.102,,,,,,,,27.809±0.134,26.938±0.108,27.913±0.128,,27.989
imagenet_sketch_swin_b,31.554±0.062,,,,,,,,31.482±0.110,29.480±0.133,31.354±0.108,,31.617
imagenet_c_resnet50,19.151183629506512,,,,,,,,19.152631218496122,17.75289415136764,19.394078458610334,,19.153
imagenet_c_densenet121,21.24052569270134,,,,,,,,21.287236245054945,19.044473355537967,20.97894682695991,,21.287
imagenet_c_vit_b_16,41.05842042910425,,,,,,,,41.060920451816756,40.74302535308035,41.07184143442857,,41.061
imagenet_c_vit_b_32,37.80197289429213,,,,,,,,37.801578327229144,37.59236735732932,37.81052545497292,,37.802
imagenet_c_swin_b,40.81447273492813,,,,,,,,40.81447273492813,40.28828893052904,40.784209496096565,,40.814
