experiment,bin,Uncalibrated,HB,BBQ,VS,TS,PTS,CTS,ETS,GC,ProCal_DR,SMART
cifar100_resnet50,5,17.531352,17.473616,17.531346,10.548081,5.125083,3.702236,3.388404,3.231117,5.036577,9.724880,3.902879
cifar100_wide_resnet,5,15.335973,15.325768,15.335965,9.019714,3.697750,3.532081,2.946518,2.291470,3.528592,9.721086,0.634918
cifar10_resnet50,5,4.332431,4.324494,4.332431,2.848193,2.105812,0.757960,0.938073,2.783622,1.748274,4.150476,0.513207
cifar10_wide_resnet,5,3.238311,3.238310,3.238311,2.101396,1.639288,0.786074,0.784871,2.287531,1.370954,2.773448,0.457403
imagenet_resnet50,5,3.581996,3.577565,3.581712,2.952318,1.869957,0.907670,2.031629,1.411898,2.526074,1.930293,0.684882
imagenet_vit_b_16,5,5.469447,5.469447,5.469448,2.633094,4.169203,1.925674,1.239553,3.127270,4.447217,1.177641,0.944248
cifar100_resnet50,10,17.531350,17.473620,17.531344,10.548082,5.416553,3.972645,3.458470,3.480719,5.568641,9.801777,4.001073
cifar100_wide_resnet,10,15.335974,15.325770,15.335967,9.019712,4.394106,3.676140,2.946518,2.586937,4.562774,9.721082,1.634713
cifar10_resnet50,10,4.332433,4.324493,4.332434,2.848654,2.105810,0.784558,1.002802,2.783621,1.752847,4.150478,0.513208
cifar10_wide_resnet,10,3.238309,3.238308,3.238309,2.101396,1.672761,0.898050,0.898717,2.745983,1.395720,2.787617,0.529642
imagenet_resnet50,10,3.607326,3.602920,3.607040,3.099453,2.013667,0.976621,2.031631,1.411897,2.526072,2.136895,0.744756
imagenet_vit_b_16,10,5.469451,5.469451,5.469451,2.853914,4.172875,1.925674,1.264429,3.127269,4.447217,1.177639,0.964491
cifar100_resnet50,15,17.531346,17.473620,17.531346,10.664038,5.654994,3.963285,3.432848,3.424885,5.412948,9.869199,4.457926
cifar100_wide_resnet,15,15.335976,15.325768,15.335968,9.019713,4.406442,3.866403,2.946517,2.654455,4.363225,9.721080,1.858411
cifar10_resnet50,15,4.332437,4.324492,4.332437,2.849961,2.141214,1.008710,1.559871,2.783622,1.841305,4.150477,0.795874
cifar10_wide_resnet,15,3.238310,3.238352,3.238310,2.144029,1.708895,1.056608,1.465751,2.658929,1.449810,2.797614,0.550216
imagenet_resnet50,15,3.702560,3.698134,3.702274,3.148133,2.072520,1.038833,2.047222,1.457002,2.526072,2.133818,0.774989
imagenet_vit_b_16,15,5.563943,5.563943,5.563943,2.876622,4.239825,1.925672,1.396124,3.127269,4.447215,1.177639,1.129287
cifar100_resnet50,20,17.531349,17.473617,17.531346,10.777043,5.500387,4.097071,3.573006,3.497923,5.568643,9.832792,4.461729
cifar100_wide_resnet,20,15.335974,15.325768,15.335970,9.285970,4.394107,3.924856,3.059762,2.627848,4.562775,9.721082,2.218221
cifar10_resnet50,20,4.332435,4.324494,4.332434,2.885147,2.110920,1.137966,1.371300,2.825016,1.831384,4.154885,1.053236
cifar10_wide_resnet,20,3.238310,3.238308,3.238310,2.141196,1.712671,1.090325,1.476719,2.745983,1.494321,2.801061,0.565815
imagenet_resnet50,20,3.671417,3.666990,3.671131,3.207488,2.020985,1.043220,2.054246,1.446173,2.526072,2.136895,0.757448
imagenet_vit_b_16,20,5.563213,5.563214,5.563213,2.930303,4.311633,1.970995,1.467896,3.127270,4.447217,1.233864,1.273448
cifar100_resnet50,25,17.531347,17.473622,17.531347,10.807706,5.553836,4.148697,3.599273,3.445414,5.622747,9.860802,4.545576
cifar100_wide_resnet,25,15.335974,15.325765,15.335971,9.378859,4.410180,3.766868,2.946519,2.732776,4.506144,9.721081,2.404102
cifar10_resnet50,25,4.332437,4.324494,4.332437,2.875584,2.194437,1.278769,1.498749,2.874325,1.875572,4.169318,1.218588
cifar10_wide_resnet,25,3.238391,3.238390,3.238391,2.174784,1.728034,1.203161,1.453766,2.766720,1.499412,2.802048,0.598571
imagenet_resnet50,25,3.705472,3.701042,3.705189,3.158036,2.061758,1.072494,2.063624,1.447067,2.526072,2.159349,0.809196
imagenet_vit_b_16,25,5.614834,5.614834,5.614835,2.903578,4.370870,1.956259,1.755244,3.151617,4.447217,1.235015,1.248656
cifar100_resnet50,30,17.531349,17.473617,17.531349,10.837074,5.654995,3.992314,3.565296,3.546491,5.756418,9.898227,4.605687
cifar100_wide_resnet,30,15.335970,15.325764,15.335965,9.305745,4.406444,3.866403,3.065968,2.713472,4.599364,9.721079,2.167005
cifar10_resnet50,30,4.332447,4.324493,4.332447,2.881671,2.181364,1.322210,1.712031,2.913740,1.995207,4.165775,1.078480
cifar10_wide_resnet,30,3.238451,3.238465,3.238451,2.160573,1.762865,1.208682,1.535781,2.745982,1.516353,2.802441,0.598256
imagenet_resnet50,30,3.702560,3.698136,3.702273,3.157515,2.127838,1.110892,2.081126,1.496128,2.541680,2.136894,0.873740
imagenet_vit_b_16,30,5.568650,5.568650,5.568650,2.878284,4.300463,1.944478,1.604360,3.183013,4.455698,1.323573,1.304550
