experiment,Uncalibrated,TS,PTS,CTS,ETS,HB,BBQ,VS,GC,ProCal_DR,FC,LC,SMART
cifar10_resnet50,4.332437366247177,,,,,,,,1.8413053825497627,4.1504766792058945,1.8765633925795555,,0.905
cifar10_wide_resnet,3.238309547305107,,,,,,,,1.4498096890747547,2.797614224255085,1.8531765788793564,,0.816
cifar100_resnet50,17.531345784664154,,,,,,,,5.4129477590322495,9.869198501110077,2.9130788519978523,,1.689
cifar100_wide_resnet,15.335975587368011,,,,,,,,4.363225027918816,9.721080213785172,4.734567552804947,,1.863
imagenet_resnet50,3.657±0.061,,,,,,,,2.419±0.108,1.629±0.293,1.742±0.102,,0.618
imagenet_densenet121,2.521±0.072,,,,,,,,2.179±0.241,2.125±0.225,1.337±0.262,,0.655
imagenet_wide_resnet,5.299±0.031,,,,,,,,3.598±0.095,1.822±0.193,1.613±0.110,,0.806
imagenet_vit_b_16,5.597±0.084,,,,,,,,4.346±0.259,0.999±0.274,5.616±0.069,,0.450
imagenet_vit_b_32,6.389±0.060,,,,,,,,4.607±0.125,0.933±0.225,6.387±0.062,,0.840
imagenet_swin_b,4.838±0.065,,,,,,,,4.946±0.171,1.012±0.152,4.838±0.052,,0.488
imagenet_lt_resnet50,3.552±0.057,,,,,,,,2.167±0.161,1.586±0.236,1.781±0.225,,1.864
imagenet_lt_densenet121,2.350±0.122,,,,,,,,2.053±0.119,2.360±0.171,1.730±0.476,,1.665
imagenet_lt_wide_resnet,5.236±0.069,,,,,,,,3.581±0.185,1.627±0.211,1.697±0.129,,0.844
imagenet_lt_vit_b_16,5.565±0.075,,,,,,,,4.314±0.142,0.760±0.128,5.695±0.071,,0.764
imagenet_lt_vit_b_32,6.279±0.096,,,,,,,,4.677±0.062,0.855±0.082,6.263±0.028,,0.765
imagenet_lt_swin_b,4.656±0.072,,,,,,,,4.785±0.276,0.935±0.110,4.799±0.103,,0.653
imagenet_sketch_resnet50,22.322±0.110,,,,,,,,2.053±0.194,9.444±0.217,12.580±1.348,,1.248
imagenet_sketch_densenet121,20.128±0.127,,,,,,,,1.857±0.192,12.702±0.264,22.674±1.067,,0.704
imagenet_sketch_vit_b_16,16.571±0.058,,,,,,,,6.355±0.291,5.664±0.340,1.951±0.190,,0.908
imagenet_sketch_vit_b_32,14.219±0.073,,,,,,,,6.255±0.145,4.442±0.231,1.569±0.117,,0.634
imagenet_sketch_swin_b,24.609±0.027,,,,,,,,6.946±0.354,8.165±0.201,1.550±0.054,,1.732
imagenet_c_resnet50,13.819128333737977,,,,,,,,2.7347005315517126,5.715177884619487,2.5540324749032917,,0.685
imagenet_c_densenet121,12.575395189617812,,,,,,,,2.0380366446548384,9.854865476096931,9.46974471995705,,0.703
imagenet_c_vit_b_16,8.26580627380233,,,,,,,,5.957178300932834,1.9876740480724135,5.368204620715819,,1.137
imagenet_c_vit_b_32,7.6646711775346805,,,,,,,,6.405877655273989,1.5011062306400975,5.442691028216168,,1.019
imagenet_c_swin_b,12.0337713607832,,,,,,,,6.919530318363716,2.566209474676534,5.127489694247121,,1.354
