experiment,bin,Uncalibrated,HB,BBQ,VS,TS,PTS,CTS,ETS,GC,ProCal_DR,SMART
cifar100_resnet50,5,0.362353,0.361887,0.362353,0.231384,0.171739,0.163768,0.189833,0.161439,0.170012,0.227205,0.167282
cifar100_wide_resnet,5,0.319537,0.319545,0.319537,0.204040,0.148246,0.145846,0.163753,0.144740,0.150850,0.212056,0.144764
cifar10_resnet50,5,0.886633,0.885518,0.886633,0.583175,0.364165,0.360601,0.462713,0.459547,0.329792,0.840739,0.330615
cifar10_wide_resnet,5,0.665261,0.665261,0.665261,0.416252,0.295270,0.349700,0.400856,0.507741,0.275269,0.586260,0.308395
imagenet_resnet50,5,0.019155,0.019154,0.019155,0.018609,0.018412,0.019561,0.020495,0.018658,0.018461,0.018983,0.020024
imagenet_vit_b_16,5,0.021919,0.021919,0.021919,0.018171,0.017118,0.016135,0.020476,0.017360,0.017510,0.016844,0.016690
cifar100_resnet50,10,0.376371,0.374876,0.376371,0.245895,0.190463,0.197839,0.215538,0.192326,0.191847,0.246101,0.196738
cifar100_wide_resnet,10,0.332717,0.332711,0.332717,0.219072,0.172109,0.179257,0.191493,0.173107,0.171728,0.231771,0.171871
cifar10_resnet50,10,0.899350,0.897284,0.899350,0.599663,0.407998,0.442755,0.502184,0.573500,0.372807,0.855063,0.386631
cifar10_wide_resnet,10,0.669857,0.669857,0.669857,0.437744,0.341663,0.414376,0.443282,0.590701,0.325419,0.602887,0.361889
imagenet_resnet50,10,0.023804,0.023803,0.023804,0.023185,0.023395,0.024490,0.025184,0.023590,0.023285,0.023750,0.024859
imagenet_vit_b_16,10,0.026570,0.026570,0.026570,0.022574,0.021078,0.020314,0.024297,0.021749,0.021152,0.021133,0.021135
cifar100_resnet50,15,0.383927,0.382163,0.383927,0.257789,0.214760,0.224319,0.242415,0.219632,0.213041,0.264764,0.224913
cifar100_wide_resnet,15,0.342717,0.342612,0.342717,0.230004,0.190530,0.203013,0.215358,0.196978,0.191566,0.247112,0.196591
cifar10_resnet50,15,0.907801,0.906462,0.907801,0.615704,0.458307,0.498752,0.541275,0.659695,0.406511,0.882028,0.432026
cifar10_wide_resnet,15,0.678025,0.678025,0.678025,0.449691,0.370552,0.428802,0.464410,0.651342,0.345252,0.614088,0.368481
imagenet_resnet50,15,0.026950,0.026951,0.026950,0.026643,0.026834,0.028123,0.028497,0.027117,0.026630,0.027145,0.028435
imagenet_vit_b_16,15,0.029860,0.029860,0.029860,0.025844,0.023807,0.023428,0.027076,0.024890,0.023820,0.024040,0.024303
cifar100_resnet50,20,0.390518,0.388526,0.390518,0.270855,0.228505,0.242656,0.259978,0.239995,0.227988,0.277341,0.240018
cifar100_wide_resnet,20,0.348191,0.348082,0.348191,0.242185,0.210153,0.222293,0.231024,0.218814,0.208316,0.259255,0.219206
cifar10_resnet50,20,0.917710,0.914897,0.917710,0.636225,0.494375,0.544170,0.574536,0.720578,0.459327,0.883902,0.484687
cifar10_wide_resnet,20,0.691850,0.691850,0.691850,0.462732,0.412462,0.476391,0.481187,0.681939,0.373577,0.626255,0.403434
imagenet_resnet50,20,0.029829,0.029832,0.029829,0.029115,0.029485,0.030956,0.031177,0.029963,0.029289,0.029997,0.031405
imagenet_vit_b_16,20,0.032459,0.032459,0.032459,0.028142,0.025952,0.025693,0.029223,0.027184,0.025847,0.026259,0.026777
cifar100_resnet50,25,0.396748,0.394336,0.396748,0.278826,0.247489,0.263315,0.281958,0.257306,0.242575,0.290346,0.261900
cifar100_wide_resnet,25,0.353135,0.352996,0.353135,0.251366,0.222577,0.239075,0.246127,0.234050,0.221224,0.271301,0.234232
cifar10_resnet50,25,0.925880,0.925520,0.925880,0.647029,0.513480,0.578231,0.597044,0.738103,0.511346,0.900646,0.493575
cifar10_wide_resnet,25,0.698328,0.698328,0.698328,0.473908,0.434727,0.496652,0.502791,0.728908,0.405068,0.637476,0.427051
imagenet_resnet50,25,0.031985,0.031979,0.031985,0.031440,0.031770,0.033355,0.033414,0.032237,0.031580,0.032255,0.033771
imagenet_vit_b_16,25,0.034598,0.034598,0.034598,0.030273,0.027797,0.027544,0.031053,0.029075,0.027381,0.028089,0.028668
cifar100_resnet50,30,0.401448,0.398445,0.401448,0.286715,0.262686,0.286207,0.299061,0.277521,0.256300,0.302679,0.280626
cifar100_wide_resnet,30,0.356692,0.356583,0.356692,0.257695,0.235331,0.256108,0.259502,0.246105,0.235053,0.279962,0.251201
cifar10_resnet50,30,0.929686,0.927474,0.929686,0.653593,0.565017,0.604399,0.650777,0.774216,0.534698,0.905670,0.518405
cifar10_wide_resnet,30,0.701655,0.701655,0.701655,0.481187,0.458327,0.496264,0.528376,0.754328,0.427572,0.649281,0.464382
imagenet_resnet50,30,0.033690,0.033691,0.033690,0.033230,0.033846,0.035244,0.035182,0.034342,0.033311,0.033610,0.035776
imagenet_vit_b_16,30,0.036465,0.036465,0.036465,0.031913,0.029186,0.028960,0.032456,0.030685,0.028716,0.029438,0.030198
