experiment,Uncalibrated,TS,PTS,CTS,ETS,HB,BBQ,VS,GC,ProCal_DR,FC,LC,SMART
cifar10_resnet50,0.9078006260097027,,,,,,,,0.4065114539116621,0.8820277638733387,0.5479132290929556,,0.424
cifar10_wide_resnet,0.6780248135328293,,,,,,,,0.34525201190263033,0.6140877958387136,0.39941747672855854,,0.382
cifar100_resnet50,0.3839273937046528,,,,,,,,0.213041459210217,0.26476364582777023,0.24465422611683607,,0.213
cifar100_wide_resnet,0.34271739423274994,,,,,,,,0.19156619673594832,0.24711200967431068,0.209303991869092,,0.197
imagenet_resnet50,0.027,,,,,,,,0.027,0.027,0.027,,0.028
imagenet_densenet121,0.028,,,,,,,,0.029,0.030,0.030,,0.030
imagenet_wide_resnet,0.026,,,,,,,,0.025,0.025,0.026,,0.027
imagenet_vit_b_16,0.030,,,,,,,,0.024,0.024,0.030,,0.024
imagenet_vit_b_32,0.033,,,,,,,,0.027,0.027,0.033,,0.027
imagenet_swin_b,0.028,,,,,,,,0.023,0.023,0.028,,0.023
imagenet_lt_resnet50,0.027,,,,,,,,0.026,0.027,0.027,,0.027
imagenet_lt_densenet121,0.028,,,,,,,,0.029,0.030,0.030,,0.029
imagenet_lt_wide_resnet,0.026,,,,,,,,0.025,0.025,0.026,,0.025
imagenet_lt_vit_b_16,0.030,,,,,,,,0.023,0.024,0.030,,0.025
imagenet_lt_vit_b_32,0.032,,,,,,,,0.027,0.027,0.032,,0.027
imagenet_lt_swin_b,0.028,,,,,,,,0.023,0.023,0.028,,0.025
imagenet_sketch_resnet50,0.099,,,,,,,,0.068,0.094,0.090±0.001,,0.076
imagenet_sketch_densenet121,0.096,,,,,,,,0.067,0.095,0.097±0.001,,0.073
imagenet_sketch_vit_b_16,0.083,,,,,,,,0.062,0.076,0.063,,0.066
imagenet_sketch_vit_b_32,0.078,,,,,,,,0.061,0.072,0.060,,0.064
imagenet_sketch_swin_b,0.091,,,,,,,,0.063,0.082,0.061,,0.069
imagenet_c_resnet50,0.08634245069084788,,,,,,,,0.0655038165859878,0.082696386073765,0.0728474001669766,,0.070
imagenet_c_densenet121,0.08423376252482596,,,,,,,,0.06785852525162658,0.09041793267610237,0.08424783070375653,,0.072
imagenet_c_vit_b_16,0.0621630078010065,,,,,,,,0.05835057803013019,0.059389376761636845,0.05882301637412686,,0.063
imagenet_c_vit_b_32,0.061087942326833546,,,,,,,,0.058576722451681766,0.05879031010217181,0.058059176540394365,,0.061
imagenet_c_swin_b,0.06697587056183502,,,,,,,,0.05749469426901717,0.061400889535434544,0.058375844750308284,,0.060
