experiment,bin,Uncalibrated,HB,BBQ,VS,TS,PTS,CTS,ETS,GC,ProCal_DR,SMART
cifar100_resnet50,5,17.532202,17.479416,17.532191,10.785327,5.604565,3.014521,3.388201,2.228345,5.551450,9.702257,2.509221
cifar100_wide_resnet,5,15.336679,15.326867,15.336668,9.343383,4.265746,2.648201,2.643762,1.433723,4.525395,9.442553,0.794133
cifar10_resnet50,5,4.336258,4.329503,4.336258,2.878976,1.326548,0.677078,0.638993,1.516795,1.337777,4.154038,0.789466
cifar10_wide_resnet,5,3.242184,3.242178,3.242184,2.103955,0.809421,0.783691,0.501279,2.190994,0.804274,2.775940,0.328370
imagenet_resnet50,5,3.689254,3.684824,3.688975,3.168330,2.028985,1.068241,2.038817,1.006701,2.349843,1.204906,0.601601
imagenet_vit_b_16,5,5.469373,5.469373,5.469373,2.877788,3.808558,1.940633,1.356987,2.564621,4.485745,1.057424,0.483377
cifar100_resnet50,10,17.532201,17.479424,17.532201,10.786769,5.604566,4.030899,3.556518,3.249940,5.588095,9.702264,3.088778
cifar100_wide_resnet,10,15.336684,15.326872,15.336673,9.343384,4.374838,3.923186,2.710750,2.388801,4.525402,9.443992,1.400008
cifar10_resnet50,10,4.336258,4.329497,4.336258,2.884899,1.363162,1.162197,1.145981,2.389008,1.340861,4.154047,0.797755
cifar10_wide_resnet,10,3.242184,3.242184,3.242184,2.103957,0.809427,0.935533,0.777220,2.603324,0.807226,2.775941,0.448137
imagenet_resnet50,10,3.689258,3.684824,3.688971,3.168336,2.028980,1.117224,2.038816,1.065518,2.408694,1.204905,0.601606
imagenet_vit_b_16,10,5.646322,5.646322,5.646322,2.877787,3.808558,1.947015,1.392660,3.046146,4.485749,1.129189,0.978528
cifar100_resnet50,15,17.532196,17.479419,17.532186,10.856993,5.610692,3.935430,3.669383,3.167084,5.699023,9.711121,3.985247
cifar100_wide_resnet,15,15.336680,15.326868,15.336680,9.377140,4.499795,3.491534,3.034065,2.661922,4.546945,9.442557,1.887856
cifar10_resnet50,15,4.340957,4.334196,4.340957,2.878973,1.381851,1.210093,0.830785,2.928238,1.365365,4.170388,0.816386
cifar10_wide_resnet,15,3.242182,3.242182,3.242182,2.103948,0.933531,1.065511,0.810820,2.759819,0.889177,2.813308,0.468218
imagenet_resnet50,15,3.693469,3.687377,3.693180,3.206907,2.036676,1.119868,2.077907,1.268765,2.480793,1.295140,0.657620
imagenet_vit_b_16,15,5.593053,5.593050,5.593053,2.888474,3.810232,1.974816,1.508019,3.078784,4.493583,1.155564,0.891796
cifar100_resnet50,20,17.532194,17.479420,17.532194,10.859187,5.614343,4.030897,3.585787,3.391363,5.724327,9.702260,3.473006
cifar100_wide_resnet,20,15.343240,15.341082,15.343240,9.379349,4.664870,3.943551,3.071748,2.603203,4.534277,9.489311,2.024097
cifar10_resnet50,20,4.338206,4.331439,4.338206,2.884895,1.451008,1.369697,1.230792,2.993398,1.409464,4.168612,0.817153
cifar10_wide_resnet,20,3.254505,3.254505,3.254505,2.103953,1.147497,1.075483,1.046039,2.649640,1.144350,2.777810,0.535673
imagenet_resnet50,20,3.689257,3.684825,3.688971,3.168328,2.028985,1.175233,2.038817,1.341166,2.446975,1.698350,0.830426
imagenet_vit_b_16,20,5.663599,5.663599,5.663599,2.958242,4.050271,2.003716,1.697937,3.046997,4.486770,1.174475,0.991698
cifar100_resnet50,25,17.532197,17.514227,17.532192,10.827368,5.677393,4.226020,3.710687,3.522808,5.652506,9.706459,4.381038
cifar100_wide_resnet,25,15.336683,15.326873,15.336673,9.391036,4.635927,3.848616,3.024764,2.820714,4.679442,9.478104,2.278518
cifar10_resnet50,25,4.356558,4.349797,4.356558,2.891002,1.457313,1.236531,1.172572,2.765791,1.664267,4.173150,0.832422
cifar10_wide_resnet,25,3.243645,3.243645,3.243645,2.141682,1.332891,1.286743,0.838167,2.636635,1.336878,2.802112,0.646610
imagenet_resnet50,25,3.742214,3.737787,3.741926,3.266350,2.047682,1.147373,2.123369,1.394269,2.512395,2.167735,0.820577
imagenet_vit_b_16,25,5.641977,5.641977,5.641977,2.963744,4.189615,2.110965,1.802869,3.212313,4.511170,1.268802,1.192839
cifar100_resnet50,30,17.532196,17.479422,17.532196,10.860280,5.610685,4.292821,3.840906,3.444180,5.878269,9.720053,4.227447
cifar100_wide_resnet,30,15.336683,15.326870,15.336673,9.428710,4.570396,4.170759,3.203874,2.807711,4.610814,9.509237,2.242999
cifar10_resnet50,30,4.346760,4.340000,4.346760,2.901487,1.824923,1.311279,1.384777,2.961961,1.819091,4.193786,1.005373
cifar10_wide_resnet,30,3.257026,3.257026,3.257026,2.103958,1.537653,1.274241,1.112226,2.801419,1.315262,2.826875,0.759124
imagenet_resnet50,30,3.717278,3.715418,3.716997,3.268880,2.116851,1.279371,2.078716,1.451485,2.498234,1.336085,0.867364
imagenet_vit_b_16,30,5.675892,5.675892,5.675892,2.978221,4.117970,2.029179,1.685827,3.123079,4.497688,1.276880,1.294330
