experiment,Uncalibrated,TS,PTS,CTS,ETS,HB,BBQ,VS,GC,ProCal_DR,FC,LC,SMART
cifar10_resnet50,4.340957160890104,,,,,,,,1.3653648161888132,4.1703876078128825,1.6628065127134315,,0.764
cifar10_wide_resnet,3.2421820771694208,,,,,,,,0.8891767847537986,2.8133075104653815,1.1216125527024274,,0.456
cifar100_resnet50,17.532196094393733,,,,,,,,5.699022808484733,9.711121283397077,2.905968787893652,,1.454
cifar100_wide_resnet,15.336679569482802,,,,,,,,4.546944689564406,9.442557356879117,4.494023662284017,,1.979
imagenet_resnet50,3.647±0.060,,,,,,,,2.442±0.118,1.081±0.144,1.708±0.079,,0.521
imagenet_densenet121,2.528±0.079,,,,,,,,2.203±0.250,1.515±0.211,1.350±0.285,,0.576
imagenet_wide_resnet,5.435±0.035,,,,,,,,3.656±0.160,1.566±0.103,1.621±0.091,,0.742
imagenet_swin_b,5.050±0.053,,,,,,,,4.949±0.171,0.998±0.145,5.053±0.060,,0.463
imagenet_vit_b_16,5.624±0.070,,,,,,,,4.388±0.248,0.970±0.303,5.646±0.059,,0.484
imagenet_vit_b_32,6.389±0.060,,,,,,,,4.674±0.132,0.882±0.323,6.386±0.062,,0.715
imagenet_lt_resnet50,3.627±0.017,,,,,,,,2.198±0.166,1.119±0.197,1.797±0.227,,1.902
imagenet_lt_densenet121,2.502±0.086,,,,,,,,2.053±0.106,1.794±0.087,1.758±0.497,,1.672
imagenet_lt_wide_resnet,5.403±0.058,,,,,,,,3.586±0.176,1.281±0.064,1.678±0.096,,0.774
imagenet_lt_swin_b,4.691±0.065,,,,,,,,4.794±0.274,0.949±0.161,4.816±0.103,,0.580
imagenet_lt_vit_b_16,5.578±0.063,,,,,,,,4.340±0.143,0.768±0.136,5.718±0.078,,0.648
imagenet_lt_vit_b_32,6.280±0.096,,,,,,,,4.763±0.080,0.825±0.121,6.263±0.028,,0.605
imagenet_sketch_resnet50,22.322±0.110,,,,,,,,1.991±0.161,9.518±0.308,12.580±1.348,,1.262
imagenet_sketch_densenet121,20.128±0.127,,,,,,,,1.768±0.145,12.931±0.232,22.674±1.067,,0.598
imagenet_sketch_swin_b,24.609±0.027,,,,,,,,6.923±0.350,8.054±0.303,1.700±0.060,,1.771
imagenet_sketch_vit_b_16,16.571±0.058,,,,,,,,6.355±0.291,5.673±0.377,1.933±0.177,,0.897
imagenet_sketch_vit_b_32,14.219±0.073,,,,,,,,6.229±0.162,4.441±0.234,1.556±0.088,,0.758
imagenet_c_resnet50,13.8167487645409,,,,,,,,2.6851056061964482,5.78796825979395,2.50791458681814,,0.622
imagenet_c_densenet121,12.57447495910094,,,,,,,,2.008496579142826,9.876933955980563,9.439126620443636,,0.653
imagenet_c_swin_b,12.02840417603325,,,,,,,,6.92187728035999,2.534973994892973,5.1799861268983465,,1.264
imagenet_c_vit_b_16,8.28319258492881,,,,,,,,5.95239168463814,1.9565638204901723,5.370725439597216,,1.093
imagenet_c_vit_b_32,7.686149775586336,,,,,,,,6.403725462321094,1.5547111002757752,5.499127579010336,,0.967
