experiment,bin,Uncalibrated,HB,BBQ,VS,TS,PTS,CTS,ETS,GC,ProCal_DR,SMART
cifar100_resnet50,5,18.013245,18.002121,18.013235,11.589114,5.850536,3.876198,4.492441,3.100948,6.042617,10.594572,4.227142
cifar100_wide_resnet,5,16.144979,16.140474,16.144970,9.990206,4.807019,3.297652,3.763267,2.424426,4.885024,11.021482,0.927334
cifar10_resnet50,5,4.652375,4.651202,4.652375,3.541745,1.683984,1.269845,0.901412,1.680153,1.717357,4.928632,1.202357
cifar10_wide_resnet,5,4.294189,4.294185,4.294189,3.484116,1.862022,1.007856,2.199329,2.221537,1.775169,3.253203,0.838153
imagenet_resnet50,5,3.888753,3.884022,3.888487,3.317853,2.293666,1.061988,2.189230,1.448988,2.534378,1.407057,0.537525
imagenet_vit_b_16,5,6.037084,6.037084,6.037084,2.879808,5.100134,1.969627,1.281811,2.849131,4.925646,1.239209,0.656863
cifar100_resnet50,10,18.802424,18.786099,18.802424,12.320978,6.861635,4.384909,4.501544,4.365607,6.868508,11.515004,4.376777
cifar100_wide_resnet,10,16.906235,16.902905,16.906227,10.728414,5.474249,4.316646,3.777928,3.219009,5.828254,11.860507,1.784015
cifar10_resnet50,10,5.345891,5.338211,5.345891,4.051596,3.344309,1.656020,1.232210,2.996764,3.021621,5.305343,1.262314
cifar10_wide_resnet,10,5.110063,5.110063,5.110063,4.037914,2.725311,0.901602,2.615823,2.570151,3.101668,4.652131,0.576636
imagenet_resnet50,10,4.049309,4.045233,4.049072,3.430357,2.294700,1.056768,2.193858,1.565935,2.575280,1.546903,0.480434
imagenet_vit_b_16,10,6.208827,6.208827,6.208827,2.987595,5.676649,2.020847,1.386207,3.313010,5.112217,1.410953,1.144881
cifar100_resnet50,15,19.165230,19.152110,19.165222,12.757531,7.092726,4.472447,4.462014,4.273073,7.063487,11.734451,5.248317
cifar100_wide_resnet,15,17.608092,17.605007,17.608092,11.415652,5.902027,4.103133,3.779546,3.190252,5.857207,12.289921,2.043616
cifar10_resnet50,15,5.407092,5.420301,5.407092,4.486885,4.036984,1.729709,1.132190,3.474211,3.903977,6.009120,1.474520
cifar10_wide_resnet,15,5.440897,5.440897,5.440897,4.475388,3.112024,1.430751,2.328978,2.576213,2.989516,5.193261,0.212634
imagenet_resnet50,15,4.151591,4.147161,4.151368,3.478884,2.374706,0.962591,2.144839,1.600590,2.634824,1.804836,0.465407
imagenet_vit_b_16,15,6.197377,6.197374,6.197377,3.050071,5.879751,2.013657,1.594294,3.324861,5.193820,1.519847,1.053322
cifar100_resnet50,20,19.556056,19.540882,19.556056,13.183293,7.294291,4.382310,4.492234,4.527737,7.049535,11.925137,4.937249
cifar100_wide_resnet,20,18.066965,18.065327,18.066965,11.666582,6.013012,4.240283,3.793558,3.233804,5.799186,12.361654,2.277098
cifar10_resnet50,20,5.495856,5.506085,5.495856,4.887920,4.306528,1.583124,2.645485,3.354766,4.223626,6.321023,1.352346
cifar10_wide_resnet,20,5.555051,5.555051,5.555051,4.835910,3.166498,1.304507,2.662068,2.568404,3.210145,5.313252,0.000000
imagenet_resnet50,20,4.185263,4.184054,4.185051,3.490117,2.235355,1.012908,2.161334,1.563096,2.652537,1.981252,0.435544
imagenet_vit_b_16,20,6.235548,6.235548,6.235548,3.155647,5.921844,2.012320,1.874200,3.439112,5.237369,1.503777,1.225210
cifar100_resnet50,25,19.814999,19.811834,19.814995,13.555445,7.335560,4.446698,4.402951,4.525182,7.072307,12.070669,5.193857
cifar100_wide_resnet,25,18.511951,18.509196,18.511945,11.755380,5.887561,4.422956,3.739934,3.433402,5.941834,12.510133,2.288629
cifar10_resnet50,25,5.720704,5.750146,5.720704,5.000709,4.214211,1.484372,2.922493,3.367407,4.263432,7.334054,1.158043
cifar10_wide_resnet,25,5.881781,5.881781,5.881781,4.952034,3.463474,1.505353,2.331959,2.511842,3.213144,5.436667,1.148320
imagenet_resnet50,25,4.188224,4.185837,4.187923,3.573259,2.213999,0.790057,2.159946,1.531096,2.663043,2.307356,0.000000
imagenet_vit_b_16,25,6.218055,6.218055,6.218055,3.181020,5.946475,2.159115,1.817009,3.523684,5.215547,1.562147,1.227792
cifar100_resnet50,30,20.033408,20.022264,20.033408,13.642708,7.231944,4.564556,4.562224,4.557166,7.098156,12.171074,5.337658
cifar100_wide_resnet,30,18.719613,18.716625,18.719607,11.921420,5.853978,4.336036,3.597887,3.162533,5.866530,12.589261,1.856152
cifar10_resnet50,30,5.827141,5.856049,5.827141,4.911686,4.601266,1.623805,3.242490,3.324447,4.137554,7.654689,1.410720
cifar10_wide_resnet,30,6.135919,6.135919,6.135919,5.021150,3.435719,0.926309,2.411083,2.494794,3.107302,5.575957,1.325173
imagenet_resnet50,30,4.237933,4.235923,4.237583,3.517008,2.317058,0.886966,2.118607,1.583550,2.628350,1.771444,0.000000
imagenet_vit_b_16,30,6.255762,6.255762,6.255762,3.123466,5.932078,2.073425,1.818481,3.469540,5.251777,1.431980,1.128765
