experiment,Uncalibrated,TS,PTS,CTS,ETS,HB,BBQ,VS,GC,ProCal_DR,FC,LC,SMART
cifar10_resnet50,5.407092301718832,,,,,,,,3.9039771068552365,6.009120042555653,4.125136645735797,,1.320
cifar10_wide_resnet,5.440896613289914,,,,,,,,2.9895155859695306,5.193260628063875,3.5404829172289527,,0.678
cifar100_resnet50,19.16523005472758,,,,,,,,7.063486595806189,11.734450914730555,3.7304159529956866,,1.766
cifar100_wide_resnet,17.608091795359147,,,,,,,,5.857206856257833,12.289920922909946,5.682711739313996,,2.364
imagenet_resnet50,4.152,,,,,,,,2.555±0.100,1.576±0.131,2.035±0.227,,0.071
imagenet_densenet121,,,,,,,,,2.279±0.265,2.422±0.203,1.252±0.349,,0.270
imagenet_wide_resnet,,,,,,,,,4.020±0.193,2.130±0.208,2.078±0.213,,0.840
imagenet_vit_b_16,,,,,,,,,5.166±0.359,1.112±0.641,6.221±0.050,,0.000
imagenet_vit_b_32,,,,,,,,,5.472±0.093,0.872±0.583,6.734±0.048,,0.717
imagenet_swin_b,,,,,,,,,6.005±0.307,1.199±0.273,5.574±0.039,,0.000
imagenet_lt_resnet50,,,,,,,,,2.293±0.153,1.506±0.251,2.240±0.462,,2.128
imagenet_lt_densenet121,,,,,,,,,2.143±0.115,2.561±0.098,1.750±0.645,,1.741
imagenet_lt_wide_resnet,,,,,,,,,3.966±0.260,1.773±0.181,2.086±0.187,,1.027
imagenet_lt_vit_b_16,,,,,,,,,5.128±0.200,0.868±0.442,6.310±0.053,,0.672
imagenet_lt_vit_b_32,,,,,,,,,5.547±0.065,0.901±0.111,6.617±0.030,,0.790
imagenet_lt_swin_b,,,,,,,,,5.685±0.489,0.895±0.264,5.433±0.138,,0.392
imagenet_sketch_resnet50,,,,,,,,,3.288±0.241,10.104±0.310,13.783±1.514,,2.107
imagenet_sketch_densenet121,,,,,,,,,2.530±0.298,13.758±0.291,24.358±1.128,,0.877
imagenet_sketch_vit_b_16,,,,,,,,,8.525±0.345,6.212±0.420,3.096±0.247,,1.426
imagenet_sketch_vit_b_32,,,,,,,,,8.289±0.169,4.678±0.207,2.189±0.172,,0.714
imagenet_sketch_swin_b,,,,,,,,,9.465±0.431,9.058±0.283,2.109±0.106,,6.142
imagenet_c_resnet50,,,,,,,,,4.466565882614828,6.788632137485259,3.052639804594549,,0.844
imagenet_c_densenet121,,,,,,,,,3.2019882264231003,11.03098351057279,10.930017532403314,,0.645
imagenet_c_vit_b_16,,,,,,,,,7.095975809909831,2.1119807804852755,6.3378116285473745,,1.262
imagenet_c_vit_b_32,,,,,,,,,7.764754848418209,1.6026772342349787,6.257804606171377,,1.115
imagenet_c_swin_b,,,,,,,,,8.599653199653874,2.7535528132265297,5.8281329920916125,,2.233
