experiment,bin,Uncalibrated,HB,BBQ,VS,TS,PTS,CTS,ETS,GC,ProCal_DR,SMART
cifar100_resnet50,5,17.532196,17.479420,17.532194,10.548496,5.579410,3.980105,3.307781,3.270556,5.478679,9.823693,1.511816
cifar100_wide_resnet,5,15.336679,15.326868,15.336677,9.020061,4.339564,3.554560,2.771086,2.560265,4.571915,9.693924,1.551838
cifar10_resnet50,5,4.336258,4.329495,4.336258,2.851154,1.764530,0.775031,0.941008,2.554981,1.706592,4.154043,0.303682
cifar10_wide_resnet,5,3.242180,3.242180,3.242180,2.103958,1.228675,0.783683,0.787807,1.650687,1.374125,2.775937,0.376210
imagenet_resnet50,5,3.672699,3.631643,3.672411,3.156430,2.023760,1.033209,2.051985,1.444109,2.466635,2.040551,0.703758
imagenet_vit_b_16,5,5.469369,5.469369,5.469369,2.876726,4.107787,1.945044,1.239656,3.074875,4.447302,1.186910,0.851290
cifar100_resnet50,10,17.532196,17.479420,17.532194,10.548496,5.579410,3.980105,3.307781,3.270556,5.478679,9.823693,1.511816
cifar100_wide_resnet,10,15.336679,15.326868,15.336677,9.020061,4.339564,3.554560,2.771086,2.560265,4.571915,9.693924,1.551838
cifar10_resnet50,10,4.336258,4.329495,4.336258,2.851154,1.764530,0.775031,0.941008,2.554981,1.706592,4.154043,0.303682
cifar10_wide_resnet,10,3.242180,3.242180,3.242180,2.103958,1.228675,0.783683,0.787807,1.650687,1.374125,2.775937,0.376210
imagenet_resnet50,10,3.672699,3.631643,3.672411,3.156430,2.023760,1.033209,2.051985,1.444109,2.466635,2.040551,0.703758
imagenet_vit_b_16,10,5.469369,5.469369,5.469369,2.876726,4.107787,1.945044,1.239656,3.074875,4.447302,1.186910,0.851290
cifar100_resnet50,15,17.532196,17.479420,17.532194,10.548496,5.579410,3.980105,3.307781,3.270556,5.478679,9.823693,1.511816
cifar100_wide_resnet,15,15.336679,15.326868,15.336677,9.020061,4.339564,3.554560,2.771086,2.560265,4.571915,9.693924,1.551838
cifar10_resnet50,15,4.336258,4.329495,4.336258,2.851154,1.764530,0.775031,0.941008,2.554981,1.706592,4.154043,0.303682
cifar10_wide_resnet,15,3.242180,3.242180,3.242180,2.103958,1.228675,0.783683,0.787807,1.650687,1.374125,2.775937,0.376210
imagenet_resnet50,15,3.672699,3.631643,3.672411,3.156430,2.023760,1.033209,2.051985,1.444109,2.466635,2.040551,0.703758
imagenet_vit_b_16,15,5.469369,5.469369,5.469369,2.876726,4.107787,1.945044,1.239656,3.074875,4.447302,1.186910,0.851290
cifar100_resnet50,20,17.532196,17.479420,17.532194,10.548496,5.579410,3.980105,3.307781,3.270556,5.478679,9.823693,1.511816
cifar100_wide_resnet,20,15.336679,15.326868,15.336677,9.020061,4.339564,3.554560,2.771086,2.560265,4.571915,9.693924,1.551838
cifar10_resnet50,20,4.336258,4.329495,4.336258,2.851154,1.764530,0.775031,0.941008,2.554981,1.706592,4.154043,0.303682
cifar10_wide_resnet,20,3.242180,3.242180,3.242180,2.103958,1.228675,0.783683,0.787807,1.650687,1.374125,2.775937,0.376210
imagenet_resnet50,20,3.672699,3.631643,3.672411,3.156430,2.023760,1.033209,2.051985,1.444109,2.466635,2.040551,0.703758
imagenet_vit_b_16,20,5.469369,5.469369,5.469369,2.876726,4.107787,1.945044,1.239656,3.074875,4.447302,1.186910,0.851290
cifar100_resnet50,25,17.532196,17.479420,17.532194,10.548496,5.579410,3.980105,3.307781,3.270556,5.478679,9.823693,1.511816
cifar100_wide_resnet,25,15.336679,15.326868,15.336677,9.020061,4.339564,3.554560,2.771086,2.560265,4.571915,9.693924,1.551838
cifar10_resnet50,25,4.336258,4.329495,4.336258,2.851154,1.764530,0.775031,0.941008,2.554981,1.706592,4.154043,0.303682
cifar10_wide_resnet,25,3.242180,3.242180,3.242180,2.103958,1.228675,0.783683,0.787807,1.650687,1.374125,2.775937,0.376210
imagenet_resnet50,25,3.672699,3.631643,3.672411,3.156430,2.023760,1.033209,2.051985,1.444109,2.466635,2.040551,0.703758
imagenet_vit_b_16,25,5.469369,5.469369,5.469369,2.876726,4.107787,1.945044,1.239656,3.074875,4.447302,1.186910,0.851290
cifar100_resnet50,30,17.532196,17.479420,17.532194,10.548496,5.579410,3.980105,3.307781,3.270556,5.478679,9.823693,1.511816
cifar100_wide_resnet,30,15.336679,15.326868,15.336677,9.020061,4.339564,3.554560,2.771086,2.560265,4.571915,9.693924,1.551838
cifar10_resnet50,30,4.336258,4.329495,4.336258,2.851154,1.764530,0.775031,0.941008,2.554981,1.706592,4.154043,0.303682
cifar10_wide_resnet,30,3.242180,3.242180,3.242180,2.103958,1.228675,0.783683,0.787807,1.650687,1.374125,2.775937,0.376210
imagenet_resnet50,30,3.672699,3.631643,3.672411,3.156430,2.023760,1.033209,2.051985,1.444109,2.466635,2.040551,0.703758
imagenet_vit_b_16,30,5.469369,5.469369,5.469369,2.876726,4.107787,1.945044,1.239656,3.074875,4.447302,1.186910,0.851290
