experiment,Uncalibrated,TS,PTS,CTS,ETS,HB,BBQ,VS,GC,ProCal_DR,FC,LC,SMART
cifar10_resnet50,4.336258423328402,,,,,,,,1.706592113971711,4.154043252468111,1.6505154573917393,,0.496
cifar10_wide_resnet,3.242180011272434,,,,,,,,1.3741247844696058,2.7759366255998605,1.091791744232179,,0.140
cifar100_resnet50,17.532196176648135,,,,,,,,5.478678889125584,9.823692875504493,2.642282700538633,,1.607
cifar100_wide_resnet,15.336679420471194,,,,,,,,4.571915280818939,9.693923690319064,4.439888520240783,,1.418
imagenet_resnet50,3.673,,,,,,,,2.396±0.122,1.540±0.289,1.768±0.106,,0.713
imagenet_densenet121,,,,,,,,,2.203±0.250,1.900±0.236,1.388±0.232,,0.614
imagenet_wide_resnet,,,,,,,,,3.640±0.143,1.740±0.240,1.638±0.105,,0.813
imagenet_vit_b_16,,,,,,,,,4.346±0.259,0.911±0.240,5.597±0.095,,0.517
imagenet_vit_b_32,,,,,,,,,4.608±0.123,0.872±0.188,6.386±0.062,,0.711
imagenet_swin_b,,,,,,,,,4.946±0.171,0.987±0.123,4.806±0.078,,0.430
imagenet_lt_resnet50,,,,,,,,,2.193±0.157,1.475±0.307,1.831±0.237,,1.917
imagenet_lt_densenet121,,,,,,,,,2.079±0.153,2.308±0.169,1.752±0.452,,1.756
imagenet_lt_wide_resnet,,,,,,,,,3.605±0.198,1.383±0.188,1.706±0.112,,0.843
imagenet_lt_vit_b_16,,,,,,,,,4.314±0.142,0.699±0.162,5.695±0.071,,0.668
imagenet_lt_vit_b_32,,,,,,,,,4.676±0.062,0.774±0.100,6.263±0.028,,0.638
imagenet_lt_swin_b,,,,,,,,,4.785±0.276,0.955±0.095,4.589±0.107,,0.533
imagenet_sketch_resnet50,,,,,,,,,2.079±0.184,9.375±0.268,12.580±1.348,,1.248
imagenet_sketch_densenet121,,,,,,,,,1.845±0.163,12.706±0.272,22.674±1.067,,0.869
imagenet_sketch_vit_b_16,,,,,,,,,6.355±0.291,5.659±0.342,2.064±0.244,,0.952
imagenet_sketch_vit_b_32,,,,,,,,,6.242±0.166,4.429±0.237,1.624±0.081,,0.706
imagenet_sketch_swin_b,,,,,,,,,6.955±0.361,8.175±0.158,1.706±0.084,,1.578
imagenet_c_resnet50,,,,,,,,,2.7402414372570716,5.7115214490611095,2.5635864220682136,,0.673
imagenet_c_densenet121,,,,,,,,,2.0462946273031717,9.872408289204499,9.464441438006531,,0.700
imagenet_c_vit_b_16,,,,,,,,,5.962430967211626,2.0310384930996226,5.401501193194112,,1.164
imagenet_c_vit_b_32,,,,,,,,,6.4028137773138125,1.5553616105892547,5.485830217804759,,1.125
imagenet_c_swin_b,,,,,,,,,6.931506085906081,2.584679601561572,5.135966483250775,,1.384
