experiment,bin,Uncalibrated,HB,BBQ,VS,TS,PTS,CTS,ETS,GC,ProCal_DR,SMART
cifar100_resnet50,5,1.536808,1.541951,1.536703,1.097836,1.060723,1.055776,1.107271,1.073928,1.061988,0.999269,1.075953
cifar100_wide_resnet,5,1.401098,1.400069,1.400789,0.990951,0.957078,0.951026,0.989274,0.968743,0.959564,0.930333,0.958665
cifar10_resnet50,5,0.412206,0.411948,0.412206,0.212092,0.203846,0.194151,0.209023,0.208537,0.201247,0.323891,0.200051
cifar10_wide_resnet,5,0.267494,0.267494,0.267494,0.155196,0.153332,0.150798,0.159386,0.162811,0.151716,0.220309,0.149979
imagenet_resnet50,5,0.962013,0.961466,0.961896,0.953858,0.949220,0.961995,0.994596,0.963483,0.953178,0.950763,0.970041
imagenet_vit_b_16,5,0.840053,0.840053,0.840053,0.809009,0.789497,0.798756,0.842774,0.800979,0.810890,0.818934,0.799092
cifar100_resnet50,10,1.536808,1.541951,1.536703,1.097836,1.060723,1.055776,1.107271,1.073928,1.061988,0.999269,1.075953
cifar100_wide_resnet,10,1.401098,1.400069,1.400789,0.990951,0.957078,0.951026,0.989274,0.968743,0.959564,0.930333,0.958665
cifar10_resnet50,10,0.412206,0.411948,0.412206,0.212092,0.203846,0.194151,0.209023,0.208537,0.201247,0.323891,0.200051
cifar10_wide_resnet,10,0.267494,0.267494,0.267494,0.155196,0.153332,0.150798,0.159386,0.162811,0.151716,0.220309,0.149979
imagenet_resnet50,10,0.962013,0.961466,0.961896,0.953858,0.949220,0.961995,0.994596,0.963483,0.953178,0.950763,0.970041
imagenet_vit_b_16,10,0.840053,0.840053,0.840053,0.809009,0.789497,0.798756,0.842774,0.800979,0.810890,0.818934,0.799092
cifar100_resnet50,15,1.536808,1.541951,1.536703,1.097836,1.060723,1.055776,1.107271,1.073928,1.061988,0.999269,1.075953
cifar100_wide_resnet,15,1.401098,1.400069,1.400789,0.990951,0.957078,0.951026,0.989274,0.968743,0.959564,0.930333,0.958665
cifar10_resnet50,15,0.412206,0.411948,0.412206,0.212092,0.203846,0.194151,0.209023,0.208537,0.201247,0.323891,0.200051
cifar10_wide_resnet,15,0.267494,0.267494,0.267494,0.155196,0.153332,0.150798,0.159386,0.162811,0.151716,0.220309,0.149979
imagenet_resnet50,15,0.962013,0.961466,0.961896,0.953858,0.949220,0.961995,0.994596,0.963483,0.953178,0.950763,0.970041
imagenet_vit_b_16,15,0.840053,0.840053,0.840053,0.809009,0.789497,0.798756,0.842774,0.800979,0.810890,0.818934,0.799092
cifar100_resnet50,20,1.536808,1.541951,1.536703,1.097836,1.060723,1.055776,1.107271,1.073928,1.061988,0.999269,1.075953
cifar100_wide_resnet,20,1.401098,1.400069,1.400789,0.990951,0.957078,0.951026,0.989274,0.968743,0.959564,0.930333,0.958665
cifar10_resnet50,20,0.412206,0.411948,0.412206,0.212092,0.203846,0.194151,0.209023,0.208537,0.201247,0.323891,0.200051
cifar10_wide_resnet,20,0.267494,0.267494,0.267494,0.155196,0.153332,0.150798,0.159386,0.162811,0.151716,0.220309,0.149979
imagenet_resnet50,20,0.962013,0.961466,0.961896,0.953858,0.949220,0.961995,0.994596,0.963483,0.953178,0.950763,0.970041
imagenet_vit_b_16,20,0.840053,0.840053,0.840053,0.809009,0.789497,0.798756,0.842774,0.800979,0.810890,0.818934,0.799092
cifar100_resnet50,25,1.536808,1.541951,1.536703,1.097836,1.060723,1.055776,1.107271,1.073928,1.061988,0.999269,1.075953
cifar100_wide_resnet,25,1.401098,1.400069,1.400789,0.990951,0.957078,0.951026,0.989274,0.968743,0.959564,0.930333,0.958665
cifar10_resnet50,25,0.412206,0.411948,0.412206,0.212092,0.203846,0.194151,0.209023,0.208537,0.201247,0.323891,0.200051
cifar10_wide_resnet,25,0.267494,0.267494,0.267494,0.155196,0.153332,0.150798,0.159386,0.162811,0.151716,0.220309,0.149979
imagenet_resnet50,25,0.962013,0.961466,0.961896,0.953858,0.949220,0.961995,0.994596,0.963483,0.953178,0.950763,0.970041
imagenet_vit_b_16,25,0.840053,0.840053,0.840053,0.809009,0.789497,0.798756,0.842774,0.800979,0.810890,0.818934,0.799092
cifar100_resnet50,30,1.536808,1.541951,1.536703,1.097836,1.060723,1.055776,1.107271,1.073928,1.061988,0.999269,1.075953
cifar100_wide_resnet,30,1.401098,1.400069,1.400789,0.990951,0.957078,0.951026,0.989274,0.968743,0.959564,0.930333,0.958665
cifar10_resnet50,30,0.412206,0.411948,0.412206,0.212092,0.203846,0.194151,0.209023,0.208537,0.201247,0.323891,0.200051
cifar10_wide_resnet,30,0.267494,0.267494,0.267494,0.155196,0.153332,0.150798,0.159386,0.162811,0.151716,0.220309,0.149979
imagenet_resnet50,30,0.962013,0.961466,0.961896,0.953858,0.949220,0.961995,0.994596,0.963483,0.953178,0.950763,0.970041
imagenet_vit_b_16,30,0.840053,0.840053,0.840053,0.809009,0.789497,0.798756,0.842774,0.800979,0.810890,0.818934,0.799092
