experiment,Uncalibrated,TS,PTS,CTS,ETS,HB,BBQ,VS,GC,ProCal_DR,FC,LC,SMART
cifar10_resnet50,0.4122064411640167,,,,,,,,0.2012466937303543,0.3238906264305115,0.20211870968341827,,0.201
cifar10_wide_resnet,0.2674940824508667,,,,,,,,0.15171638131141663,0.22030876576900482,0.15434756875038147,,0.153
cifar100_resnet50,1.5368080139160156,,,,,,,,1.0619876384735107,0.9992685317993164,1.0491682291030884,,1.058
cifar100_wide_resnet,1.4010980129241943,,,,,,,,0.9595644474029541,0.9303329586982727,0.9120679497718811,,0.959
imagenet_resnet50,0.962±0.003,,,,,,,,0.952±0.003,0.950±0.003,0.943±0.002,,0.959
imagenet_densenet121,1.028±0.004,,,,,,,,1.050±0.006,1.069±0.004,1.073±0.003,,1.048
imagenet_wide_resnet,0.884±0.003,,,,,,,,0.870±0.003,0.855±0.003,0.857±0.001,,0.873
imagenet_vit_b_16,0.837±0.002,,,,,,,,0.804±0.005,0.814±0.003,0.837±0.002,,0.793
imagenet_vit_b_32,1.078±0.002,,,,,,,,1.034±0.006,1.056±0.003,1.078±0.002,,1.024
imagenet_swin_b,0.742±0.002,,,,,,,,0.718±0.006,0.718±0.002,0.743±0.002,,0.708
imagenet_lt_resnet50,0.962±0.004,,,,,,,,0.949±0.003,0.948±0.003,0.943±0.003,,0.945
imagenet_lt_densenet121,1.031±0.004,,,,,,,,1.048±0.005,1.069±0.006,1.071±0.006,,1.039
imagenet_lt_wide_resnet,0.886±0.004,,,,,,,,0.867±0.004,0.853±0.003,0.854±0.002,,0.860
imagenet_lt_vit_b_16,0.839±0.003,,,,,,,,0.799±0.002,0.813±0.002,0.837±0.001,,0.811
imagenet_lt_vit_b_32,1.076±0.004,,,,,,,,1.029±0.002,1.054±0.003,1.075±0.002,,1.038
imagenet_lt_swin_b,0.749±0.004,,,,,,,,0.723±0.005,0.720±0.002,0.745±0.002,,0.736
imagenet_sketch_resnet50,5.059±0.005,,,,,,,,4.380±0.004,4.869±0.004,4.691±0.030,,4.493
imagenet_sketch_densenet121,4.852±0.011,,,,,,,,4.185±0.006,4.894±0.008,4.867±0.057,,4.270
imagenet_sketch_vit_b_16,4.284±0.007,,,,,,,,4.110±0.005,4.185±0.006,4.215±0.003,,4.247
imagenet_sketch_vit_b_32,4.338±0.007,,,,,,,,4.207±0.008,4.264±0.008,4.296±0.008,,4.318
imagenet_sketch_swin_b,4.368±0.005,,,,,,,,4.017±0.008,4.180±0.008,4.113±0.006,,4.178
imagenet_c_resnet50,4.883774299370615,,,,,,,,4.592188690838061,4.776094235871968,4.631451788701509,,4.662
imagenet_c_densenet121,4.625556399947719,,,,,,,,4.375623000295539,4.789650866859837,4.604488931204143,,4.443
imagenet_c_vit_b_16,3.1738702874434623,,,,,,,,3.097963477435865,3.137334578915646,3.1876519165540995,,3.184
imagenet_c_vit_b_32,3.362853959987038,,,,,,,,3.2832698257345903,3.3354949449238025,3.378611577184577,,3.344
imagenet_c_swin_b,3.2838359318281474,,,,,,,,3.172984851034064,3.2078147875635246,3.280644548566718,,3.258
