Dataset,Model,Loss,Seed,ECE,Accuracy,AdaECE,CECE,NLL,ECE_debiased,ECE_sweep,Brier,RBS
cifar10,resnet50,NLL,1,3.957855820953843%,95.05999684333801%,3.9085492491722107%,0.008489048108458519,0.32029619812965393,5.5776707345284215%,3.9119779056310673%,0.04429217055439949,0.2976312041282654
cifar10,resnet50,Brier,1,1.6605159097909914%,95.2299952507019%,1.5244395472109318%,0.00416647968813777,0.16767282783985138,3.040792046923114%,1.463351268768307%,0.037629980593919754,0.27433550357818604
cifar10,vit_b_32,NLL,1,8.053955747038126%,78.49000096321106%,8.051667362451553%,0.018299046903848648,0.7057965397834778,9.386310323259412%,8.05396013200283%,0.1591024249792099,0.5640965104103088
cifar10,vit_b_32,Brier,1,4.289799652397633%,61.68000102043152%,4.288027808070183%,0.014795570634305477,1.1340471506118774,4.513021745093956%,4.289798974692821%,0.25794777274131775,0.7182586789131165
cifar10,vit_b_32,MMCE,1,7.039544923305513%,78.15999984741211%,7.037470489740372%,0.01617148332297802,0.695817768573761,7.999196641679493%,7.039542994797228%,0.15919677913188934,0.5642637014389038
cifar10,vit_b_32,LS-0.05,1,3.1413167524337773%,78.16999554634094%,2.9864352196455%,0.009184991009533405,0.6627802848815918,3.4161875050573616%,3.0071795234084133%,0.1544872373342514,0.5558547377586365
cifar10,vit_b_16,NLL,1,6.917675663828849%,79.64999675750732%,6.8881019949913025%,0.014793753623962402,0.6209293603897095,8.203203201648783%,6.890667505264279%,0.14573252201080322,0.5398750305175781
cifar10,vit_b_32,FLSD-53,1,2.3315810456871993%,75.3600001335144%,2.3106999695301056%,0.012358734384179115,0.7435157895088196,2.5283043730089068%,2.278900274038316%,0.17395898699760437,0.5898457169532776
cifar10,vit_b_32,FLSD-3,1,2.569221155196428%,75.49999952316284%,2.492338605225086%,0.011529124341905117,0.7375707626342773,2.4859084773737705%,2.4868044391274444%,0.17435522377490997,0.5905171036720276
cifar10,vit_l_16,NLL,1,5.189511921405794%,77.97999978065491%,5.165522918105125%,0.012933209538459778,0.664365291595459,5.860307819172415%,5.164883997738361%,0.1581917107105255,0.5624797344207764
cifar10,vit_b_16,Brier,1,3.421066195964813%,75.13999938964844%,3.3359691500663757%,0.011090210638940334,0.7420362830162048,3.760501879043017%,3.3489690729975714%,0.1752268224954605,0.5919912457466125
cifar10,vit_b_32,MSE,1,7.2871685430407505%,73.93999695777893%,7.294986397027969%,0.017001254484057426,0.8086125254631042,8.128546408098941%,7.287168999612331%,0.18549685180187225,0.6090925335884094
cifar10,swin_b,NLL,1,1.5319849619269361%,72.50999808311462%,1.5738563612103462%,0.008471660315990448,0.7798383831977844,0.8063351916751261%,1.563057803213597%,0.18904875218868256,0.6148963570594788
cifar10,beit_base,NLL,1,7.380723608434203%,81.19999766349792%,7.378584146499634%,0.01602841168642044,0.6131346821784973,8.653934837358271%,7.380723513066767%,0.13922221958637238,0.527678370475769
cifar10,swin_b,Brier,1,2.650609193593265%,57.12999701499939%,2.6148367673158646%,0.010553835891187191,1.212475061416626,2.3685541541783914%,2.6839969912171355%,0.2779615521430969,0.7456024885177612
cifar10,beit_base,Brier,1,2.498377309739589%,54.96000051498413%,2.4969572201371193%,0.016292208805680275,1.2741972208023071,2.169659861447409%,2.498375167846679%,0.29101133346557617,0.7629041075706482
cifar10,beit_base,MMCE,1,3.5371048736572255%,81.41999840736389%,3.5360146313905716%,0.008731642737984657,0.548416018486023,4.129598595203756%,3.5382473072409617%,0.1314549446105957,0.5127474069595337
cifar10,beit_base,LS-0.05,1,4.712121723741293%,27.42999792098999%,4.645435139536858%,0.017762813717126846,2.0208187103271484,5.0147177043565225%,4.644303788542747%,0.41751259565353394,0.91379714012146
cifar10,swin_b,MMCE,1,2.264946930408479%,76.3700008392334%,2.1854136139154434%,0.008592269383370876,0.6946254968643188,2.5861394173639143%,2.241892057061197%,0.1666206270456314,0.5772705078125
cifar10,vit_b_16,MMCE,1,4.833461677730084%,80.14999628067017%,4.827689006924629%,0.01190961617976427,0.61525958776474,5.648684863836783%,4.830791006684303%,0.14355017244815826,0.5358174443244934
cifar10,beit_base,FLSD-53,1,9.293474270552398%,76.46999955177307%,9.285257756710052%,0.018807433545589447,0.7058420777320862,10.104023741811329%,9.29347344994545%,0.17216891050338745,0.5868030786514282
cifar10,beit_base,FLSD-3,1,8.324338559806344%,74.32999610900879%,8.325771242380142%,0.017379550263285637,0.7594437599182129,9.135978482034643%,8.324338594973089%,0.18504799902439117,0.6083551645278931
cifar10,vit_b_16,LS-0.05,1,3.7855551400780665%,79.71000075340271%,4.163578897714615%,0.009846347384154797,0.6248643398284912,5.047823426809723%,4.155863718986512%,0.14535483717918396,0.5391749739646912
cifar10,swin_b,LS-0.05,1,6.787458993792534%,74.73999857902527%,6.882458180189133%,0.015296111814677715,0.7576020359992981,7.117048379599894%,6.884213356375693%,0.17991690337657928,0.5998615026473999
cifar10,beit_base,MSE,1,2.598000174462795%,27.939999103546143%,2.6374032720923424%,0.01815592683851719,2.0638437271118164,2.525266907329338%,2.443461042046547%,0.4156869053840637,0.911797046661377
cifar10,convnext_tiny,NLL,1,6.622524973154068%,79.339998960495%,6.455659121274948%,0.014359100721776485,0.6456698179244995,7.551607618198496%,6.4574524241685864%,0.14882487058639526,0.5455728769302368
cifar10,convnext_tiny,Brier,1,1.1595381477475182%,53.21999788284302%,1.6525663435459137%,0.012941990979015827,1.3195360898971558,0.7887672600083341%,1.4496149095892885%,0.30298933386802673,0.7784463167190552
cifar10,convnext_tiny,MMCE,1,8.001535660624507%,82.1399986743927%,7.877453416585922%,0.017311373725533485,0.6411736011505127,9.643346500585924%,7.869983658790591%,0.13732925057411194,0.5240787267684937
cifar10,convnext_tiny,LS-0.05,1,3.6900968268513674%,77.6699960231781%,3.6298371851444244%,0.010423694737255573,0.665798008441925,3.88581834591739%,3.6286043280363085%,0.1577416956424713,0.5616790652275085
